Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
04/01/2010,1116.56,1133.87,1116.56,1132.99,"3,991,400,000",0,17.31,0,16.43
05/01/2010,1132.66,1136.63,1129.66,1136.52,"2,491,020,000",0,3.97,-3,3.86
06/01/2010,1135.71,1139.19,1133.95,1137.14,"4,972,660,000",0,3.48,-1.76,1.43
07/01/2010,1136.27,1142.46,1131.32,1141.69,"5,270,680,000",0,6.19,-4.95,5.42
08/01/2010,1140.52,1145.39,1136.22,1144.98,"4,389,590,000",0,4.87,-4.3,4.46
11/01/2010,1145.96,1149.74,1142.02,1146.98,"4,255,780,000",0,3.78,-3.94,1.02
12/01/2010,1143.81,1143.81,1131.77,1136.22,"4,716,160,000",0,0,-12.04,-7.59
13/01/2010,1137.31,1148.4,1133.18,1145.68,"4,170,360,000",0,11.09,-4.13,8.37
14/01/2010,1145.68,1150.41,1143.8,1148.46,"3,915,200,000",0,4.73,-1.88,2.78
15/01/2010,1147.72,1147.77,1131.39,1136.03,"4,758,730,000",0,0.05,-16.33,-11.69
19/01/2010,1136.03,1150.45,1135.77,1150.23,"4,724,830,000",0,14.42,-0.26,14.2
20/01/2010,1147.95,1147.95,1129.25,1138.04,"4,810,560,000",0,0,-18.7,-9.91
21/01/2010,1138.68,1141.58,1114.84,1116.48,"6,874,289,600",0,2.9,-23.84,-22.2
22/01/2010,1115.49,1115.49,1090.18,1091.76,"6,208,650,000",0,0,-25.31,-23.73
25/01/2010,1092.4,1102.97,1092.4,1096.78,"4,481,390,000",0,10.57,0,4.38
26/01/2010,1095.8,1103.69,1089.86,1092.17,"4,731,910,000",0,7.89,-5.94,-3.63
27/01/2010,1091.94,1099.51,1083.11,1097.5,"5,319,120,000",0,7.57,-8.83,5.56
28/01/2010,1096.93,1100.22,1078.46,1084.53,"5,452,400,000",0,3.29,-18.47,-12.4
29/01/2010,1087.61,1096.45,1071.59,1073.87,"5,412,850,000",0,8.84,-16.02,-13.74
01/02/2010,1073.89,1089.38,1073.89,1089.19,"4,077,610,000",0,15.49,0,15.3
02/02/2010,1090.05,1104.73,1087.96,1103.32,"4,749,540,000",0,14.68,-2.09,13.27
03/02/2010,1100.67,1102.72,1093.97,1097.28,"4,285,450,000",0,2.05,-6.7,-3.39
04/02/2010,1097.25,1097.25,1062.78,1063.11,"5,859,690,000",0,0,-34.47,-34.14
05/02/2010,1064.12,1067.13,1044.5,1066.19,"6,438,900,000",0,3.01,-19.62,2.07
08/02/2010,1065.51,1071.2,1056.51,1056.74,"4,089,820,000",0,5.69,-9,-8.77
09/02/2010,1060.06,1079.28,1060.06,1070.52,"5,114,260,000",0,19.22,0,10.46
10/02/2010,1069.68,1073.67,1059.34,1068.13,"4,251,450,000",0,3.99,-10.34,-1.55
11/02/2010,1067.1,1080.04,1060.59,1078.47,"4,400,870,000",0,12.94,-6.51,11.37
12/02/2010,1075.95,1077.81,1062.97,1075.51,"4,160,680,000",0,1.86,-12.98,-0.44
16/02/2010,1079.13,1095.67,1079.13,1094.87,"4,080,770,000",0,16.54,0,15.74
